Year,Country,Indicator Name,Indicator Code,Value,GDP,Life expectancy
2010,Albania,Primary completion rate, total (% of relevant age group),0.7312961485303764,0.0738658941267901,0.7571157495256167
2010,Algeria,Primary completion rate, total (% of relevant age group),0.6685428284183708,0.0983728526485839,0.72865275142315
2010,Angola,Primary completion rate, total (% of relevant age group),0.2705901839062449,0.0463584851087708,0.2523719165085389
2010,Antigua and Barbuda,Primary completion rate, total (% of relevant age group),0.7169577991360286,0.1589270132418752,0.7457305502846299
2010,Argentina,Primary completion rate, total (% of relevant age group),0.7114860835314017,0.1458930588286186,0.7438330170777989
2010,Azerbaijan,Primary completion rate, total (% of relevant age group),0.6314108565852986,0.1245135137747135,0.6603415559772294
2010,Bangladesh,Primary completion rate, total (% of relevant age group),0.4290603819509844,0.0158907145209313,0.6375711574952563
2010,Barbados,Primary completion rate, total (% of relevant age group),0.6693008006874511,0.1267879247694863,0.72865275142315
2010,Belarus,Primary completion rate, total (% of relevant age group),0.6684729317690669,0.1248683529477401,0.6963946869070208
2010,Belize,Primary completion rate, total (% of relevant age group),0.6952278519860543,0.057084699321215,0.6299810246679316
2010,Bhutan,Primary completion rate, total (% of relevant age group),0.5625174138409071,0.048680118599208,0.599620493358634
2010,Botswana,Primary completion rate, total (% of relevant age group),0.6653843668050164,0.1008761945603841,0.4705882352941177
2010,Brunei Darussalam,Primary completion rate, total (% of relevant age group),0.7166090744577966,0.6347432279446632,0.7703984819734346
2010,Bulgaria,Primary completion rate, total (% of relevant age group),0.6941901847528599,0.1168231943953211,0.7039848197343455
2010,Burkina Faso,Primary completion rate, total (% of relevant age group),0.2830856729224558,0.007206731702662,0.4022770398481974
2010,Cote d'Ivoire,Primary completion rate, total (% of relevant age group),0.2966768596458176,0.0171165513509103,0.2884250474383302
2010,Cabo Verde,Primary completion rate, total (% of relevant age group),0.6332914557357189,0.0430508783365147,0.6869070208728654
2010,Cambodia,Primary completion rate, total (% of relevant age group),0.6844811608803951,0.0159214884101212,0.5749525616698292
2010,Cameroon,Primary completion rate, total (% of relevant age group),0.4843717678831828,0.0187296747710608,0.3605313092979127
2010,Central African Republic,Primary completion rate, total (% of relevant age group),0.2197594441116768,0.0037096510705503,0.2447817836812145
2010,Chad,Primary completion rate, total (% of relevant age group),0.203916379698985,0.0111032847748338,0.2827324478178369
2010,Colombia,Primary completion rate, total (% of relevant age group),0.8311616093331002,0.0828095376452356,0.7077798861480076
2010,Costa Rica,Primary completion rate, total (% of relevant age group),0.6800965278145221,0.0982883261085073,0.7931688804554078
2010,Croatia,Primary completion rate, total (% of relevant age group),0.6696987239374421,0.1559045808711563,0.7647058823529411
2010,Cyprus,Primary completion rate, total (% of relevant age group),0.6875646326002323,0.2664899359797073,0.8197343453510437
2010,Czechia,Primary completion rate, total (% of relevant age group),0.6934091845179269,0.2199097327586024,0.7817836812144212
2010,Denmark,Primary completion rate, total (% of relevant age group),0.6789506020500797,0.3440363673233151,0.8140417457305504
2010,Dominican Republic,Primary completion rate, total (% of relevant age group),0.6472341575849409,0.0860493934498743,0.6907020872865275
2010,Ecuador,Primary completion rate, total (% of relevant age group),0.6748805580895242,0.0697071716533387,0.7343453510436433
2010,El Salvador,Primary completion rate, total (% of relevant age group),0.6570415244174734,0.0457278020506352,0.6774193548387097
2010,Equatorial Guinea,Primary completion rate, total (% of relevant age group),0.2211787795601401,0.2654667120940009,0.3757115749525617
2010,Eritrea,Primary completion rate, total (% of relevant age group),0.45904019268989,0.0114747011079009,0.4895635673624288
2010,Estonia,Primary completion rate, total (% of relevant age group),0.6917563184039581,0.1723805932431929,0.7457305502846299
2010,Fiji,Primary completion rate, total (% of relevant age group),0.6461854911115851,0.0542313594977842,0.6223908918406071
2010,Finland,Primary completion rate, total (% of relevant age group),0.6848036607692767,0.3112785762581381,0.8273244781783682
2010,Georgia,Primary completion rate, total (% of relevant age group),0.7663504018253026,0.0537679694313123,0.7115749525616697
2010,Germany,Primary completion rate, total (% of relevant age group),0.7163402161834976,0.3112477486612615,0.8481973434535104
2010,Ghana,Primary completion rate, total (% of relevant age group),0.5747351314054457,0.0199186142988476,0.6204933586337762
2010,Grenada,Primary completion rate, total (% of relevant age group),0.8830460546617878,0.0832648505095656,0.6888045540796963
2010,Guatemala,Primary completion rate, total (% of relevant age group),0.5689735885317329,0.0491626479592526,0.7722960151802656
2010,Guinea,Primary completion rate, total (% of relevant age group),0.3798718070391912,0.0091346158616196,0.4079696394686907
2010,Guyana,Primary completion rate, total (% of relevant age group),0.7132582616002304,0.0421154947972518,0.5616698292220115
2010,Honduras,Primary completion rate, total (% of relevant age group),0.5663022361255432,0.0269467135296284,0.7077798861480076
2010,Hungary,Primary completion rate, total (% of relevant age group),0.6844435575667385,0.1705451081964433,0.7248576850094877
2010,Iceland,Primary completion rate, total (% of relevant age group),0.6805854792589555,0.3163272416171526,0.8633776091081593
2010,India,Primary completion rate, total (% of relevant age group),0.6848965853844368,0.0312181394462981,0.5711574952561671
2010,Indonesia,Primary completion rate, total (% of relevant age group),0.691261731880823,0.0629889582942097,0.6034155597722959
2010,Iran,Primary completion rate, total (% of relevant age group),0.7491311184437482,0.1397616507967529,0.717267552182163
2010,Israel,Primary completion rate, total (% of relevant age group),0.6821572327496607,0.2295802495267843,0.8614800759013284
2010,Italy,Primary completion rate, total (% of relevant age group),0.7021485413857823,0.2805331557043324,0.8633776091081593
2010,Jamaica,Primary completion rate, total (% of relevant age group),0.5587418027426125,0.0595034927208762,0.7343453510436433
2010,Kazakhstan,Primary completion rate, total (% of relevant age group),0.690502621759311,0.1552882199950361,0.5977229601518026
2010,Lao People's Democratic Republic,Primary completion rate, total (% of relevant age group),0.5632933750150791,0.029359283030938,0.5180265654648957
2010,Lesotho,Primary completion rate, total (% of relevant age group),0.5310684188803908,0.0151755346505795,0.2808349146110057
2010,Liberia,Primary completion rate, total (% of relevant age group),0.395674897612329,0.0046540617498644,0.444022770398482
