,Country Name,"Cause of death, by non-communicable diseases (% of total)","Intentional homicides (per 100,000 people)","Life expectancy at birth, total (years)",Lifetime risk of maternal death (%),People using at least basic sanitation services (% of population),"Mortality rate, infant (per 1,000 live births)",communicable diseases
0,Afghanistan,40.8191640676136,3.4870927196315,60.851,5.65298401811193,35.4774709901664,64.6,48.1499135188659
1,Albania,90.5993497247237,4.08457542468858,77.936,0.0148078559448552,95.1721612127179,11.9,3.25913151879465
2,Algeria,74.8315188708989,0.708382325710373,73.808,0.345992463149718,86.9781332130706,23.9,15.9925797286184
3,American Samoa,,9.11585338061423,,,62.2329962063021,..,..
4,Andorra,,0,,,99.9999980744897,4.3,..
5,Angola,25.8443997114823,,56.726,2.40016771331255,41.0607923213848,75.5,66.6069964106187
6,Antigua and Barbuda,80.9807593437051,7.00157535445475,76.82,0.0533679582456636,97.3536211069896,10,12.2117824135442
7,Argentina,79.9626676608716,5.80046925893628,75.721,0.133364804388994,92.3128297975777,12.9,14.1294278660707
8,Armenia,90.8004349005465,1.90069351554648,73.16,0.0576112099030767,90.886816268627,16.6,4.4447260815385
9,Aruba,,3.98638649013618,75.404,,98.3671482997362,..,..
10,Australia,90.4568900838594,1.04908593619237,81.6951219512195,0.0113747348269522,99.9957392296434,4,3.95449604319344
11,Austria,91.7936864361137,0.729418238732372,80.5804878048781,0.00828715417870662,99.9858342390638,3.6,2.77306151336402
12,Azerbaijan,84.9605525199572,2.23011241769356,69.529,0.0790548922655072,84.7653165005318,32.7,10.2382655442008
13,"Bahamas, The",74.1595133621496,25.1827085878394,72.731,0.13482398639414,92.8382766265486,13.3,13.8598449446824
14,Bahrain,83.4659429966405,0.164792902699267,78.748,0.0482350648255272,99.9826918820809,7.4,6.02823745698247
15,Bangladesh,59.4311989454775,2.68749199813241,68.638,0.818774584262549,40.6418673210665,38.9,32.9783972251383
16,Barbados,81.5377874670786,11.2845863471066,75.712,0.091744348227137,93.854778577979,13.3,13.5600848256622
17,Belarus,89.1114618287848,4.12067007233369,70.4048780487805,0.00375287079520002,95.0871819797059,4.3,2.16631647844005
18,Belgium,86.4912296118674,,80.1829268292683,0.0102948587875378,99.4861223783122,3.7,7.28600009200708
19,Belize,62.2199218731043,40.0488658254335,72.272,0.0899565499834438,85.6277083290934,16.1,19.1167287666923
20,Benin,33.9334140521826,,58.363,3.31628599838433,13.3574318576564,69.4,57.661610951506
21,Bermuda,,11.0328305514839,80.499,,99.9583138453074,..,..
22,Bhutan,63.5239192364032,2.26784207031303,68.43,0.317645003368572,62.6289580941062,32.6,27.3546451964596
