"country","HdiTier","Hdi2022","Hdi2021","Hdi2020","Hdi2019","Hdi2010","Hdi2000","Hdi1990"
"India","Medium",0.644,0.633,0.638,0.638,0.572,0.49,0.434
"China","High",0.788,0.785,0.781,0.775,0.698,0.586,0.482
"United States","Very High",0.927,0.921,0.923,0.933,0.916,0.894,0.875
"Indonesia","High",0.713,0.707,0.712,0.718,0.667,0.597,0.526
"Pakistan","Low",0.54,0.537,0.536,0.537,0.496,0.434,0.394
"Nigeria","Low",0.548,0.542,0.539,0.537,0.488,,
"Brazil","High",0.76,0.756,0.758,0.764,0.722,0.668,0.62
"Bangladesh","Medium",0.67,0.662,0.657,0.646,0.558,0.491,0.399
"Russia","Very High",0.821,0.818,0.826,0.839,0.797,0.733,0.741
"Ethiopia","Low",0.492,0.489,0.489,0.485,0.409,0.286,
"Mexico","High",0.781,0.757,0.757,0.781,0.747,0.709,0.666
"Japan","Very High",0.92,0.92,0.917,0.918,0.903,0.883,0.846
"Philippines","High",0.71,0.692,0.705,0.714,0.673,0.635,0.598
"Egypt","High",0.728,0.726,0.729,0.724,0.667,0.629,0.567
"DR Congo","Low",0.481,0.475,0.477,0.476,0.424,0.376,0.377
"Vietnam","High",0.726,0.718,0.726,0.717,0.676,0.599,0.492
"Iran","High",0.78,0.776,0.779,0.785,0.756,0.692,0.613
"Turkey","Very High",0.855,0.841,0.835,0.842,0.75,0.669,0.598
"Germany","Very High",0.95,0.948,0.948,0.951,0.929,0.89,0.828
"Thailand","Very High",0.803,0.797,0.8,0.801,0.743,0.663,0.581
"Tanzania","Low",0.532,0.529,0.535,0.533,0.493,0.396,0.366
"United Kingdom","Very High",0.94,0.931,0.92,0.933,0.913,0.863,0.804
"France","Very High",0.91,0.906,0.9,0.905,0.88,0.844,0.79
"South Africa","High",0.717,0.721,0.722,0.741,0.675,0.633,0.635
"Italy","Very High",0.906,0.899,0.892,0.899,0.88,0.842,0.78
"Kenya","Medium",0.601,0.596,0.599,0.604,0.545,0.487,0.48
"Myanmar","Medium",0.608,0.599,0.615,0.608,0.506,0.407,0.333
"Colombia","High",0.758,0.752,0.756,0.768,0.732,0.672,0.614
"South Korea","Very High",0.929,0.926,0.922,0.922,0.89,0.824,0.731
"Uganda","Medium",0.55,0.545,0.545,0.544,0.5,0.392,0.329
"Sudan","Low",0.516,0.516,0.518,0.521,0.489,0.42,0.322
"Spain","Very High",0.911,0.904,0.894,0.904,0.868,0.828,0.762
"Iraq","Medium",0.673,0.667,0.661,0.678,0.629,0.583,0.497
"Algeria","High",0.745,0.74,0.73,0.742,0.721,0.652,0.593
"Argentina","Very High",0.849,0.844,0.841,0.853,0.834,0.78,0.724
"Afghanistan","Low",0.462,0.473,0.488,0.492,0.449,0.34,0.284
"Poland","Very High",0.881,0.876,0.874,0.88,0.845,0.794,0.715
"Canada","Very High",0.935,0.934,0.928,0.932,0.911,0.89,0.861
"Morocco","Medium",0.698,0.688,0.683,0.684,0.604,0.525,0.448
"Ukraine","High",0.734,0.755,0.762,0.774,0.766,0.698,0.731
"Angola","Medium",0.591,0.59,0.594,0.597,0.516,0.38,
"Saudi Arabia","Very High",0.875,0.867,0.861,0.862,0.805,0.746,0.699
"Uzbekistan","High",0.727,0.721,0.716,0.725,0.675,0.603,
"Yemen","Low",0.424,0.425,0.43,0.43,0.496,0.434,0.357
"Mozambique","Low",0.461,0.459,0.467,0.465,0.407,0.303,0.239
"Ghana","Medium",0.602,0.6,0.601,0.599,0.571,0.5,0.445
"Peru","High",0.762,0.755,0.758,0.774,0.725,0.675,0.62
"Malaysia","Very High",0.807,0.798,0.802,0.805,0.768,0.726,0.649
"Nepal","Medium",0.601,0.591,0.593,0.598,0.543,0.461,0.395
"Madagascar","Low",0.487,0.484,0.486,0.498,0.488,0.438,
"Ivory Coast","Low",0.534,0.53,0.53,0.529,0.47,0.454,0.425
"Venezuela","Medium",0.699,0.69,0.691,0.72,0.759,0.699,0.657
"Cameroon","Medium",0.587,0.581,0.585,0.586,0.515,0.426,0.44
"Niger","Low",0.394,0.389,0.391,0.39,0.336,0.26,0.212
"Australia","Very High",0.946,0.949,0.948,0.941,0.924,0.896,0.864
"Syria","Medium",0.557,0.558,0.561,0.564,0.661,0.587,0.563
"Mali","Low",0.41,0.408,0.407,0.421,0.406,0.315,0.236
"Burkina Faso","Low",0.438,0.445,0.446,0.446,0.372,0.296,
"Sri Lanka","High",0.78,0.783,0.777,0.775,0.735,0.689,0.641
"Malawi","Low",0.508,0.509,0.512,0.514,0.461,0.378,0.299
"Zambia","Medium",0.569,0.565,0.569,0.574,0.528,0.418,0.417
"Kazakhstan","Very High",0.802,0.801,0.806,0.81,0.766,0.68,0.672
"Chile","Very High",0.86,0.856,0.849,0.859,0.813,0.763,0.705
"Romania","Very High",0.827,0.825,0.828,0.834,0.813,0.721,0.709
"Chad","Low",0.394,0.393,0.396,0.398,0.364,0.292,
"Somalia","Low",0.38,,,,,,
"Ecuador","High",0.765,0.746,0.734,0.758,0.736,0.684,0.645
"Guatemala","Medium",0.629,0.63,0.638,0.645,0.613,0.551,0.49
"Senegal","Low",0.517,0.512,0.514,0.514,0.47,0.388,0.371
"Netherlands","Very High",0.946,0.941,0.938,0.941,0.917,0.892,0.847
"Cambodia","Medium",0.6,0.596,0.596,0.596,0.542,0.431,0.379
"Zimbabwe","Medium",0.55,0.549,0.554,0.56,0.481,0.426,0.479
"Guinea","Low",0.471,0.467,0.471,0.47,0.415,0.345,0.27
"Rwanda","Low",0.548,0.539,0.535,0.531,0.485,0.328,
"Benin","Low",0.504,0.502,0.501,0.506,0.481,0.412,0.35
"Burundi","Low",0.42,0.419,0.419,0.423,0.404,0.298,0.285
"Bolivia","Medium",0.698,0.691,0.691,0.715,0.661,0.625,0.546
"Tunisia","High",0.732,0.729,0.734,0.74,0.713,0.651,0.566
"Haiti","Medium",0.552,0.551,0.557,0.559,0.449,0.485,0.441
"Belgium","Very High",0.942,0.938,0.93,0.936,0.913,0.884,0.814
"Dominican Republic","High",0.766,0.756,0.76,0.765,0.707,0.646,0.579
"Jordan","High",0.736,0.736,0.74,0.744,0.727,0.681,0.622
"South Sudan","Low",0.381,0.381,0.386,0.391,0.406,,
"Cuba","High",0.764,0.742,0.759,0.766,0.779,0.694,0.684
"Honduras","Medium",0.624,0.62,0.621,0.629,0.596,0.553,0.513
"Sweden","Very High",0.952,0.949,0.944,0.947,0.91,0.903,0.808
"Papua New Guinea","Medium",0.568,0.564,0.567,0.562,0.497,0.456,0.394
"Czech Republic","Very High",0.895,0.891,0.891,0.896,0.872,0.81,0.748
"Azerbaijan","High",0.76,0.738,0.722,0.762,0.733,0.635,
"Tajikistan","Medium",0.679,0.677,0.656,0.668,0.631,0.548,0.616
"Greece","Very High",0.893,0.887,0.887,0.89,0.874,0.818,0.762
"Portugal","Very High",0.874,0.865,0.861,0.864,0.831,0.793,0.703
"Hungary","Very High",0.851,0.846,0.849,0.854,0.829,0.773,0.721
"United Arab Emirates","Very High",0.937,0.931,0.93,0.933,0.828,0.79,0.717
"Belarus","Very High",0.801,0.801,0.8,0.81,0.79,0.708,
"Israel","Very High",0.915,0.911,0.906,0.909,0.887,0.835,0.781
"Togo","Low",0.547,0.545,0.54,0.536,0.469,0.436,0.399
"Sierra Leone","Low",0.458,0.456,0.453,0.457,0.416,0.319,0.314
"Austria","Very High",0.926,0.92,0.916,0.92,0.903,0.87,0.823
"Switzerland","Very High",0.967,0.965,0.957,0.96,0.94,0.885,0.85
"Laos","Medium",0.62,0.615,0.616,0.617,0.557,0.473,0.408
"Hong Kong","Very High",0.956,0.959,0.955,0.953,0.914,0.831,0.739
"Nicaragua","Medium",0.669,0.665,0.652,0.661,0.611,0.563,0.487
"Serbia","Very High",0.805,0.804,0.806,0.812,0.768,0.689,
"Libya","High",0.746,0.746,0.737,0.756,0.774,0.746,0.724
"Paraguay","High",0.731,0.73,0.742,0.746,0.7,0.656,0.604
"Kyrgyzstan","High",0.701,0.696,0.691,0.699,0.661,0.617,0.637
"Bulgaria","High",0.799,0.796,0.802,0.813,0.79,0.723,0.698
"Turkmenistan","High",0.744,0.74,0.731,0.732,0.699,,
"El Salvador","Medium",0.674,0.669,0.666,0.676,0.657,0.609,0.519
"Singapore","Very High",0.949,0.942,0.942,0.945,0.921,0.863,0.78
"Denmark","Very High",0.952,0.947,0.946,0.946,0.913,0.89,0.839
"Central African Republic","Low",0.387,0.387,0.389,0.391,0.357,0.319,0.333
"Slovakia","Very High",0.855,0.852,0.86,0.863,0.841,0.761,
"Finland","Very High",0.942,0.941,0.939,0.939,0.912,0.887,0.811
"Liberia","Low",0.487,0.484,0.483,0.485,0.46,0.434,
"Norway","Very High",0.966,0.964,0.963,0.961,0.938,0.914,0.845
"Palestine","High",0.716,0.715,0.715,0.739,0.688,,
"New Zealand","Very High",0.939,0.936,0.935,0.937,0.924,0.894,0.812
"Costa Rica","Very High",0.806,0.804,0.811,0.811,0.769,0.709,0.659
"Lebanon","High",0.723,0.725,0.742,0.76,0.749,,
"Ireland","Very High",0.95,0.946,0.945,0.942,0.908,0.851,0.743
"Mauritania","Low",0.54,0.538,0.539,0.552,0.508,0.461,0.397
"Oman","Very High",0.819,0.81,0.823,0.841,0.798,0.702,
"Panama","Very High",0.82,0.813,0.809,0.82,0.775,0.722,0.672
"Kuwait","Very High",0.847,0.836,0.826,0.838,0.811,0.78,0.698
"Croatia","Very High",0.878,0.867,0.86,0.866,0.824,0.764,
"Eritrea","Low",0.493,0.49,0.49,0.487,0.458,,
"Georgia","Very High",0.814,0.809,0.807,0.816,0.763,0.694,
"Mongolia","High",0.741,0.73,0.74,0.749,0.7,0.595,0.579
"Uruguay","Very High",0.83,0.814,0.82,0.818,0.785,0.754,0.702
"Moldova","High",0.763,0.767,0.765,0.773,0.716,0.655,0.688
"Bosnia and Herzegovina","High",0.779,0.776,0.776,0.78,0.718,0.656,
"Gambia","Low",0.495,0.49,0.492,0.492,0.449,0.392,0.323
"Albania","High",0.789,0.785,0.784,0.8,0.766,0.678,0.649
"Jamaica","High",0.706,0.704,0.707,0.712,0.711,0.657,0.664
"Armenia","High",0.786,0.774,0.769,0.789,0.739,0.656,0.658
"Qatar","Very High",0.875,0.864,0.863,0.869,0.829,0.793,0.764
"Botswana","High",0.708,0.68,0.701,0.703,0.652,0.581,0.587
"Lithuania","Very High",0.879,0.875,0.88,0.886,0.846,0.769,0.74
"Namibia","Medium",0.61,0.616,0.634,0.638,0.584,0.549,0.595
"Gabon","Medium",0.693,0.687,0.704,0.702,0.656,0.626,0.599
"Lesotho","Low",0.521,0.522,0.53,0.528,0.47,0.456,0.479
"Guinea-Bissau","Low",0.483,0.482,0.482,0.488,0.441,,
"Slovenia","Very High",0.926,0.916,0.91,0.918,0.89,0.823,
"North Macedonia","High",0.765,0.764,0.766,0.787,0.746,0.676,
"Latvia","Very High",0.879,0.865,0.873,0.873,0.827,0.761,0.732
"Equatorial Guinea","Medium",0.65,0.647,0.65,0.653,0.609,0.511,
"Trinidad and Tobago","Very High",0.814,0.804,0.815,0.813,0.785,0.708,0.656
"Bahrain","Very High",0.888,0.884,0.884,0.888,0.807,0.775,0.733
"Timor-Leste","Medium",0.566,0.574,0.633,0.627,0.639,0.495,
"Estonia","Very High",0.899,0.89,0.891,0.893,0.864,0.798,0.741
"Mauritius","High",0.796,0.79,0.792,0.806,0.755,0.682,0.62
"Cyprus","Very High",0.907,0.901,0.9,0.901,0.859,0.797,0.733
"Eswatini","Medium",0.61,0.612,0.622,0.623,0.498,0.465,0.546
"Djibouti","Low",0.515,0.512,0.512,0.508,0.422,0.33,
"Fiji","High",0.729,0.715,0.722,0.73,0.699,0.669,0.63
"Comoros","Medium",0.586,0.585,0.588,0.584,0.524,0.458,
"Guyana","High",0.742,0.721,0.727,0.711,0.65,0.57,0.496
"Bhutan","Medium",0.681,0.677,0.675,0.668,0.582,,
"Solomon Islands","Medium",0.562,0.564,0.566,0.568,0.553,0.488,
"Luxembourg","Very High",0.927,0.927,0.921,0.925,0.912,0.864,0.793
"Suriname","Medium",0.69,0.689,0.702,0.71,0.696,,
"Montenegro","Very High",0.844,0.84,0.832,0.841,0.806,,
"Cape Verde","Medium",0.661,0.65,0.649,0.667,0.649,0.59,
"Malta","Very High",0.915,0.912,0.901,0.905,0.862,0.779,0.726
"Maldives","High",0.762,0.753,0.737,0.753,0.692,0.635,
"Brunei","Very High",0.823,0.824,0.827,0.827,0.825,0.789,0.779
"Belize","High",0.7,0.698,0.705,0.718,0.72,0.657,0.609
"Bahamas","Very High",0.82,0.799,0.798,0.802,0.8,0.788,0.76
"Iceland","Very High",0.959,0.957,0.955,0.958,0.927,0.895,0.834
"Vanuatu","Medium",0.614,0.614,0.612,0.614,0.578,,
"Barbados","Very High",0.809,0.803,0.803,0.806,0.792,0.76,0.728
"Sao Tome and Principe","Medium",0.613,0.609,0.609,0.608,0.553,0.498,0.48
"Samoa","High",0.702,0.708,0.712,0.712,0.704,0.672,
"Saint Lucia","High",0.725,0.717,0.724,0.733,0.731,0.692,0.666
"Kiribati","Medium",0.628,0.627,0.629,0.636,0.584,0.547,
"Grenada","High",0.793,0.788,0.786,0.79,0.779,,
"Micronesia","Medium",0.634,0.634,0.636,0.64,0.644,0.637,
"Tonga","High",0.739,0.738,0.742,0.74,0.709,0.679,0.64
"Seychelles","Very High",0.802,0.795,0.799,0.808,0.774,0.755,
"Saint Vincent and the Grenadines","High",0.772,0.773,0.785,0.789,0.756,0.691,
"Antigua and Barbuda","Very High",0.826,0.819,0.82,0.831,0.808,,
"Andorra","Very High",0.884,0.855,0.843,0.865,0.863,0.815,
"Dominica","High",0.74,0.737,0.738,0.745,0.735,0.721,
"Saint Kitts and Nevis","Very High",0.838,0.832,0.832,0.838,0.79,,
"Marshall Islands","High",0.731,0.729,0.727,0.722,,,
"Liechtenstein","Very High",0.942,0.936,0.933,0.94,0.916,0.871,
"San Marino","Very High",0.867,0.853,0.844,0.861,0.901,0.875,0.841
"Palau","High",0.797,0.802,0.794,0.792,0.775,0.747,
"Nauru","Medium",0.696,0.693,0.689,0.68,0.559,,
"Tuvalu","Medium",0.653,0.653,0.655,0.654,0.623,0.599,0.564
"Total",,,0.7216806282722512,0.7225759162303661,0.7275445026178011,0.6906578947368422,0.6366742857142859,0.6023829787234042
