Year,Country,Indicator Name,Indicator Code,Value,Life expectancy
2015,Albania,School enrollment, tertiary,0.46880573847094326,0.7874762808349145
2015,Albania,School enrollment, tertiary,0.611354449581629,0.7874762808349145
2015,Algeria,School enrollment, tertiary,0.2306877855976987,0.7457305502846299
2015,Algeria,School enrollment, tertiary,0.3574825985756035,0.7457305502846299
2015,Angola,School enrollment, tertiary,0.08248903332270746,0.3055028462998103
2015,Angola,School enrollment, tertiary,0.06617090575020966,0.3055028462998103
2015,Argentina,School enrollment, tertiary,0.4962838918660644,0.7590132827324478
2015,Argentina,School enrollment, tertiary,0.8103767305359393,0.7590132827324478
2015,Armenia,School enrollment, tertiary,0.3197012921856789,0.730550284629981
2015,Armenia,School enrollment, tertiary,0.36488592306663226,0.730550284629981
2015,Austria,School enrollment, tertiary,0.6074597880208088,0.857685009487666
2015,Austria,School enrollment, tertiary,0.7314520681073017,0.857685009487666
2015,Azerbaijan,School enrollment, tertiary,0.1669446274157914,0.6907020872865275
2015,Azerbaijan,School enrollment, tertiary,0.18590352781657524,0.6907020872865275
2015,Bahrain,School enrollment, tertiary,0.23256327555498377,0.7703984819734346
2015,Bahrain,School enrollment, tertiary,0.514205229839137,0.7703984819734346
2015,Bangladesh,School enrollment, tertiary,0.1295062592947477,0.6736242884250474
2015,Bangladesh,School enrollment, tertiary,0.0936506983391888,0.6736242884250474
2015,Belarus,School enrollment, tertiary,0.7232588728374019,0.683111954459203
2015,Belarus,School enrollment, tertiary,0.9545658333771115,0.683111954459203
2015,Belgium,School enrollment, tertiary,0.5151456857922376,0.8500948766603416
2015,Belgium,School enrollment, tertiary,0.6719256257948854,0.8500948766603416
2015,Belize,School enrollment, tertiary,0.1477110359519486,0.6584440227703985
2015,Belize,School enrollment, tertiary,0.24465004484362465,0.6584440227703985
2015,Benin,School enrollment, tertiary,0.1808579787911265,0.4497153700189753
2015,Benin,School enrollment, tertiary,0.06879937674381974,0.4497153700189753
2015,Bhutan,School enrollment, tertiary,0.0918238719495647,0.6356736242884251
2015,Bhutan,School enrollment, tertiary,0.07572530966590882,0.6356736242884251
2015,Bosnia and Herzegovina,School enrollment, tertiary,0.3408776593623842,0.7798861480075903
2015,Bosnia and Herzegovina,School enrollment, tertiary,0.4402544174661373,0.7798861480075903
2015,Brazil,School enrollment, tertiary,0.3107357529020065,0.7343453510436433
2015,Brazil,School enrollment, tertiary,0.42076276330000706,0.7343453510436433
2015,Brunei Darussalam,School enrollment, tertiary,0.13950524726000563,0.7855787476280836
2015,Brunei Darussalam,School enrollment, tertiary,0.260383122062112,0.7855787476280836
2015,Bulgaria,School enrollment, tertiary,0.47655852648332564,0.7248576850094877
2015,Bulgaria,School enrollment, tertiary,0.6058077327955598,0.7248576850094877
2015,Burkina Faso,School enrollment, tertiary,0.04998310197016659,0.44781783681214415
2015,Burkina Faso,School enrollment, tertiary,0.02378771627821996,0.44781783681214415
2015,Cote d'Ivoire,School enrollment, tertiary,0.08227376303700296,0.32258064516129026
2015,Cote d'Ivoire,School enrollment, tertiary,0.04991252994613349,0.32258064516129026
2015,Cabo Verde,School enrollment, tertiary,0.1425340046653088,0.7020872865275143
2015,Cabo Verde,School enrollment, tertiary,0.2080039117233617,0.7020872865275143
2015,Cameroon,School enrollment, tertiary,0.1432800427699559,0.39848197343453506
2015,Cameroon,School enrollment, tertiary,0.10991518959727405,0.39848197343453506
2015,Canada,School enrollment, tertiary,0.4627433376017213,0.870967741935484
2015,Canada,School enrollment, tertiary,0.6270047790332433,0.870967741935484
2015,Chile,School enrollment, tertiary,0.6244225443394661,0.9240986717267552
2015,Chile,School enrollment, tertiary,0.6946253084330641,0.9240986717267552
2015,Colombia,School enrollment, tertiary,0.3923261228193478,0.730550284629981
2015,Colombia,School enrollment, tertiary,0.4448456418477551,0.730550284629981
2015,Comoros,School enrollment, tertiary,0.0834492541709807,0.5161290322580645
2015,Comoros,School enrollment, tertiary,0.07089080684968467,0.5161290322580645
2015,Costa Rica,School enrollment, tertiary,0.34918235133759046,0.8216318785578747
2015,Costa Rica,School enrollment, tertiary,0.44302411919595025,0.8216318785578747
2015,Croatia,School enrollment, tertiary,0.46344163418525336,0.7912713472485768
2015,Croatia,School enrollment, tertiary,0.6301365849908928,0.7912713472485768
2015,Cyprus,School enrollment, tertiary,0.3427311778173799,0.9240986717267552
2015,Cyprus,School enrollment, tertiary,0.4426339910577338,0.9240986717267552
2015,Czechia,School enrollment, tertiary,0.4557399764120583,0.8064516129032258
2015,Czechia,School enrollment, tertiary,0.6423998986103416,0.8064516129032258
2015,Denmark,School enrollment, tertiary,0.5603292448925908,0.9430740037950665
2015,Denmark,School enrollment, tertiary,0.7709111839798221,0.9430740037950665
2015,El Salvador,School enrollment, tertiary,0.21345059039965192,0.7058823529411764
2015,El Salvador,School enrollment, tertiary,0.24935333334380758,0.7058823529411764
2015,Estonia,School enrollment, tertiary,0.49998620033223407,0.7836812144212522
2015,Estonia,School enrollment, tertiary,0.7535068540541716,0.7836812144212522
2015,Finland,School enrollment, tertiary,0.6822669846157655,0.8500948766603416
2015,Finland,School enrollment, tertiary,0.8267231499639681,0.8500948766603416
2015,France,School enrollment, tertiary,0.44044680208374787,0.8747628083491463
2015,France,School enrollment, tertiary,0.5485440084664348,0.8747628083491463
2015,Georgia,School enrollment, tertiary,0.2834671010911287,0.7229601518026567
2015,Georgia,School enrollment, tertiary,0.367680401842069,0.7229601518026567
2015,Germany,School enrollment, tertiary,0.519627683121583,0.8481973434535104
2015,Germany,School enrollment, tertiary,0.4839606215789605,0.8481973434535104
2015,Ghana,School enrollment, tertiary,0.1353462026436556,0.4952561669829223
2015,Ghana,School enrollment, tertiary,0.08504809076102082,0.4952561669829223
2015,Greece,School enrollment, tertiary,0.9367322237984043,0.8481973434535104
2015,Greece,School enrollment, tertiary,0.967814302505253,0.8481973434535104
2015,Guatemala,School enrollment, tertiary,0.1571664420155096,0.6755218216318786
2015,Guatemala,School enrollment, tertiary,0.1656974057890446,0.6755218216318786
2015,Guinea,School enrollment, tertiary,0.11956644780391273,0.43074003795066407
2015,Guinea,School enrollment, tertiary,0.05125196804850619,0.43074003795066407
2015,Honduras,School enrollment, tertiary,0.13334988518525695,0.7267552182163186
2015,Honduras,School enrollment, tertiary,0.18600583557938913,0.7267552182163186
2015,Hungary,School enrollment, tertiary,0.41161517892921407,0.7495256166982922
2015,Hungary,School enrollment, tertiary,0.5350695197236356,0.7495256166982922
2015,Iceland,School enrollment, tertiary,0.47418210518761034,0.8804554079696396
2015,Iceland,School enrollment, tertiary,0.8297117786427046,0.8804554079696396
2015,India,School enrollment, tertiary,0.2088198519891678,0.6072106261859582
2015,India,School enrollment, tertiary,0.19152424474844842,0.6072106261859582
2015,Indonesia,School enrollment, tertiary,0.2329072067970666,0.6223908918406071
2015,Indonesia,School enrollment, tertiary,0.26902265090578426,0.6223908918406071
2015,Iran,School enrollment, tertiary,0.4761515335621458,0.7438330170777989
2015,Iran,School enrollment, tertiary,0.4572299090601541,0.7438330170777989
2015,Ireland,School enrollment, tertiary,0.5774090774802645,0.8557874762808351
2015,Ireland,School enrollment, tertiary,0.605903499544421,0.8557874762808351
2015,Israel,School enrollment, tertiary,0.43847709000258306,0.8766603415559773
2015,Israel,School enrollment, tertiary,0.5883732038753703,0.8766603415559773
2015,Italy,School enrollment, tertiary,0.42043709961255366,0.8804554079696396
2015,Italy,School enrollment, tertiary,0.5880644680167977,0.8804554079696396
2015,Jamaica,School enrollment, tertiary,0.13008702252636034,0.7571157495256167
2015,Jamaica,School enrollment, tertiary,0.2975554679337696,0.7571157495256167
2015,Japan,School enrollment, tertiary,0.540356046007698,0.8994307400379506
