Year,Country,Indicator Name,Indicator Code,Value,GDP,Life expectancy
2010,Albania,Lower secondary completion rate, total (% of relevant age group),0.6422736628223211,0.07386589412679015,0.7571157495256167
2010,Albania,Primary completion rate, total (% of relevant age group),0.7312961485303764,0.07386589412679015,0.7571157495256167
2010,Algeria,Lower secondary completion rate, total (% of relevant age group),0.439241939682814,0.09837285264858393,0.72865275142315
2010,Algeria,Primary completion rate, total (% of relevant age group),0.6685428284183708,0.09837285264858393,0.72865275142315
2010,Angola,Lower secondary completion rate, total (% of relevant age group),0.11168670791099475,0.0463584851087708,0.25237191650853896
2010,Angola,Primary completion rate, total (% of relevant age group),0.27059018390624495,0.0463584851087708,0.25237191650853896
2010,Antigua and Barbuda,Lower secondary completion rate, total (% of relevant age group),0.5808502212843581,0.1589270132418752,0.7457305502846299
2010,Antigua and Barbuda,Primary completion rate, total (% of relevant age group),0.7169577991360286,0.1589270132418752,0.7457305502846299
2010,Argentina,Lower secondary completion rate, total (% of relevant age group),0.5251227606467291,0.14589305882861867,0.7438330170777989
2010,Argentina,Primary completion rate, total (% of relevant age group),0.7114860835314017,0.14589305882861867,0.7438330170777989
2010,Armenia,Lower secondary completion rate, total (% of relevant age group),0.7231787634744267,0.04907367528249461,0.7058823529411764
2010,Austria,Lower secondary completion rate, total (% of relevant age group),0.7073308631889068,0.33599260691944766,0.9051233396584439
2010,Azerbaijan,Lower secondary completion rate, total (% of relevant age group),0.6241366743638191,0.12451351377471354,0.6603415559772294
2010,Azerbaijan,Primary completion rate, total (% of relevant age group),0.6314108565852986,0.12451351377471354,0.6603415559772294
2010,Bahrain,Lower secondary completion rate, total (% of relevant age group),0.6091076485441358,0.31765209625857294,0.7552182163187855
2010,Bangladesh,Lower secondary completion rate, total (% of relevant age group),0.38448522971877436,0.015890714520931375,0.6375711574952563
2010,Bangladesh,Primary completion rate, total (% of relevant age group),0.4290603819509844,0.015890714520931375,0.6375711574952563
2010,Barbados,Lower secondary completion rate, total (% of relevant age group),0.7573898139348835,0.12678792476948633,0.72865275142315
2010,Barbados,Primary completion rate, total (% of relevant age group),0.6693008006874511,0.12678792476948633,0.72865275142315
2010,Belarus,Primary completion rate, total (% of relevant age group),0.6684729317690669,0.12486835294774018,0.6963946869070208
2010,Belgium,Lower secondary completion rate, total (% of relevant age group),0.6035139118122025,0.3184315601900753,0.8292220113851994
2010,Belize,Lower secondary completion rate, total (% of relevant age group),0.4030677957707266,0.05708469932121505,0.6299810246679316
2010,Belize,Primary completion rate, total (% of relevant age group),0.6952278519860543,0.05708469932121505,0.6299810246679316
2010,Bhutan,Lower secondary completion rate, total (% of relevant age group),0.3562522121028037,0.048680118599208046,0.599620493358634
2010,Bhutan,Primary completion rate, total (% of relevant age group),0.5625174138409071,0.048680118599208046,0.599620493358634
2010,Bolivia,Lower secondary completion rate, total (% of relevant age group),0.606537402453916,0.03824499992717732,0.6148007590132829
2010,Botswana,Primary completion rate, total (% of relevant age group),0.6653843668050164,0.10087619456038412,0.47058823529411775
2010,Brunei Darussalam,Lower secondary completion rate, total (% of relevant age group),0.7840926096738583,0.6347432279446632,0.7703984819734346
2010,Brunei Darussalam,Primary completion rate, total (% of relevant age group),0.7166090744577966,0.6347432279446632,0.7703984819734346
2010,Bulgaria,Lower secondary completion rate, total (% of relevant age group),0.670874233865077,0.11682319439532116,0.7039848197343455
2010,Bulgaria,Primary completion rate, total (% of relevant age group),0.6941901847528599,0.11682319439532116,0.7039848197343455
2010,Burkina Faso,Lower secondary completion rate, total (% of relevant age group),0.08634750639724481,0.007206731702662028,0.4022770398481974
2010,Burkina Faso,Primary completion rate, total (% of relevant age group),0.28308567292245584,0.007206731702662028,0.4022770398481974
2010,Cote d'Ivoire,Lower secondary completion rate, total (% of relevant age group),0.20641114824464596,0.017116551350910336,0.2884250474383302
2010,Cote d'Ivoire,Primary completion rate, total (% of relevant age group),0.29667685964581764,0.017116551350910336,0.2884250474383302
2010,Cabo Verde,Lower secondary completion rate, total (% of relevant age group),0.48234205588091406,0.04305087833651474,0.6869070208728654
2010,Cabo Verde,Primary completion rate, total (% of relevant age group),0.6332914557357189,0.04305087833651474,0.6869070208728654
2010,Cambodia,Primary completion rate, total (% of relevant age group),0.6844811608803951,0.01592148841012129,0.5749525616698292
2010,Cameroon,Lower secondary completion rate, total (% of relevant age group),0.15741760665779098,0.018729674771060877,0.36053130929791277
2010,Cameroon,Primary completion rate, total (% of relevant age group),0.4843717678831828,0.018729674771060877,0.36053130929791277
2010,Central African Republic,Lower secondary completion rate, total (% of relevant age group),0.03850434039058638,0.0037096510705503195,0.2447817836812145
