Country Name,"Prevalence of obesity among adults, Both sexes","Prevalence of obesity among adults, Male","Prevalence of obesity among adults, Female","Prevalence of current tobacco use (% of adults)","Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",Country,Life expectancy
Sierra Leone,8.3 [6.0-11.0],3.6 [1.9-6.1],12.8 [8.6-17.7],18.1,0.30534,Sierra Leone,51.0
Angola,7.9 [4.9-11.7],3.8 [1.5-7.3],11.6 [6.5-18.2],,7.75884,Angola,52.4
Central African Republic,7.2 [4.6-10.4],3.5 [1.5-6.5],10.5 [6.1-16.4],,1.93608,Central African Republic,52.5
Chad,5.8 [4.0-8.0],2.9 [1.4-5.2],8.5 [5.5-12.4],9.4,4.57617,Chad,53.1
Lesotho,16.2 [12.6-20.0],4.4 [2.4-7.3],26.0 [19.7-32.5],25.6,3.28338,Lesotho,53.7
Nigeria,8.5 [6.5-10.6],4.3 [2.6-6.7],12.5 [9.2-16.4],4.7,4.38764,Nigeria,54.5
Somalia,7.9 [5.3-11.1],3.7 [1.7-6.9],11.8 [7.2-17.5],,0.0,Somalia,55.0
Cameroon,11.0 [8.3-13.9],5.8 [3.3-9.3],15.9 [11.7-20.7],8.4,10.72374,Cameroon,57.3
Mozambique,6.9 [4.9-9.4],3.1 [1.5-5.6],10.1 [6.7-14.3],17.0,1.75973,Mozambique,57.6
Mali,8.2 [5.9-10.9],4.3 [2.2-7.3],11.9 [8.1-16.2],9.9,4.58867,Mali,58.2
Equatorial Guinea,7.7 [4.8-11.1],3.6 [1.4-7.2],12.2 [7.2-18.4],,8.71247,Equatorial Guinea,58.2
Malawi,5.5 [3.8-7.6],2.1 [0.9-4.0],8.7 [5.7-12.4],13.1,3.37375,Malawi,58.3
Guinea-Bissau,9.1 [6.4-12.4],4.7 [2.3-8.3],13.1 [8.7-18.6],10.7,3.98813,Guinea-Bissau,58.9
Guinea,7.4 [5.3-9.9],3.5 [1.8-6.0],11.0 [7.4-15.5],,0.49733,Guinea,59.0
Togo,8.1 [5.7-10.9],3.7 [1.8-6.3],12.0 [8.0-16.8],8.2,1.72385,Togo,59.9
